"dt","adCategory","network","revenue","impression"
"2026-08-15","reward","BuzzvilS2S",269105.43,0
"2026-08-15","display","Adpopcorn",123393,0
"2026-08-15","display","Adforus",111033,42829
"2026-08-15","rc","RC",73464.9,0
"2026-08-15","display","AdCash",8683,28410
"2026-08-15","adTicket","Adforus",350,142
"2026-08-15","adTicket","Adpopcorn",245,0
"2026-08-15","display","BuzzvilS2S",0,0
"2026-08-15","adTicket","BuzzvilS2S",0,0
"2026-08-15","adTicket","AdCash",0,0
"2026-08-14","reward","BuzzvilS2S",264831.41,0
"2026-08-14","display","Adpopcorn",144123,0
"2026-08-14","display","Adforus",117408,38522
"2026-08-14","rc","RC",62407.85,0
"2026-08-14","display","AdCash",6556,26456
"2026-08-14","adTicket","Adforus",545,148
"2026-08-14","adTicket","Adpopcorn",242,0
"2026-08-14","display","BuzzvilS2S",0,0
"2026-08-14","adTicket","BuzzvilS2S",0,0
"2026-08-14","adTicket","AdCash",0,0
"2026-08-13","reward","BuzzvilS2S",288119.88,0
"2026-08-13","display","Adforus",121368,38297
"2026-08-13","display","Adpopcorn",118222,0
"2026-08-13","rc","RC",64444.02,0
"2026-08-13","display","AdCash",6521,26442
"2026-08-13","adTicket","Adforus",519,156
"2026-08-13","adTicket","Adpopcorn",198,0
"2026-08-13","adTicket","BuzzvilS2S",0,0
"2026-08-13","display","BuzzvilS2S",0,0
"2026-08-13","adTicket","AdCash",0,0
